i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i]
478,0.478,955.665,1.60998e+07,6.38209,27.4315,4476.96,607.435,1.49992e+07,10.7181,5.93967,3202.96
479,0.479,955.583,1.60998e+07,6.38155,27.4339,4476.94,607.557,1.49992e+07,10.7202,5.93849,3203.07
480,0.48,955.501,1.60998e+07,6.381,27.4362,4476.92,607.677,1.49992e+07,10.7224,5.93731,3203.17
481,0.481,955.419,1.60998e+07,6.38045,27.4386,4476.89,607.796,1.49992e+07,10.7245,5.93614,3203.28
482,0.482,955.337,1.60998e+07,6.3799,27.4409,4476.87,607.915,1.49991e+07,10.7266,5.93499,3203.38
483,0.483,955.255,1.60998e+07,6.37936,27.4433,4476.85,608.033,1.49991e+07,10.7286,5.93384,3203.48
484,0.484,955.174,1.60998e+07,6.37881,27.4456,4476.82,608.149,1.49991e+07,10.7307,5.9327,3203.58
485,0.485,955.092,1.60998e+07,6.37827,27.448,4476.8,608.265,1.49991e+07,10.7327,5.93157,3203.68
486,0.486,955.01,1.60998e+07,6.37772,27.4503,4476.78,608.38,1.49991e+07,10.7348,5.93045,3203.78
487,0.487,954.929,1.60998e+07,6.37718,27.4527,4476.75,608.494,1.49991e+07,10.7368,5.92934,3203.88
488,0.488,954.847,1.60998e+07,6.37663,27.455,4476.73,608.607,1.49991e+07,10.7388,5.92823,3203.98
489,0.489,954.765,1.60998e+07,6.37609,27.4573,4476.71,608.719,1.49991e+07,10.7408,5.92714,3204.07
490,0.49,954.684,1.60998e+07,6.37554,27.4597,4476.68,608.831,1.49991e+07,10.7427,5.92605,3204.17
491,0.491,954.602,1.60998e+07,6.375,27.462,4476.66,608.941,1.49991e+07,10.7447,5.92498,3204.26
492,0.492,954.521,1.60998e+07,6.37445,27.4644,4476.64,609.051,1.49991e+07,10.7466,5.92391,3204.36
493,0.493,954.44,1.60998e+07,6.37391,27.4667,4476.61,609.16,1.49991e+07,10.7485,5.92285,3204.45
494,0.494,954.358,1.60998e+07,6.37337,27.4691,4476.59,609.268,1.49991e+07,10.7504,5.9218,3204.54
495,0.495,954.277,1.60998e+07,6.37283,27.4714,4476.57,609.375,1.49991e+07,10.7523,5.92076,3204.64
496,0.496,954.196,1.60998e+07,6.37228,27.4737,4476.54,609.482,1.49991e+07,10.7542,5.91972,3204.73
497,0.497,954.114,1.60998e+07,6.37174,27.4761,4476.52,609.587,1.49991e+07,10.7561,5.9187,3204.82
498,0.498,954.033,1.60998e+07,6.3712,27.4784,4476.5,609.692,1.49991e+07,10.7579,5.91768,3204.91
499,0.499,953.952,1.60998e+07,6.37066,27.4808,4476.41,609.796,1.49991e+07,10.7598,5.91667,3205
500,0.5,953.449,1.60998e+07,6.3673,27.4952,0,609.899,1.49991e+07,10.7616,5.91567,0
