i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
776,0.388,962.608455150124,16099831.8609198,6.42844586251572,27.2337110936752,4478.91503699743,703.575121429925,14999099.818994,12.4145094739931,5.12803001762755,3278.40271453222,857.788387890125,745.51001670473
777,0.3885,962.580909395189,16099831.6251922,6.42826200188942,27.2344900300622,4478.9074510376,703.922751212592,14999098.9753688,12.4206440637708,5.12549726969881,3278.65132992955,857.871126286786,745.723465109089
778,0.389,962.553391943878,16099831.3894404,6.42807833028327,27.2352682101448,4478.89987193008,704.269666286079,14999098.1322943,12.4267660428122,5.12297222120643,3278.89921427899,857.951825997903,745.832792733052
779,0.3895,962.525903142507,16099831.1536641,6.4278948500102,27.2360456239895,4478.89229965154,704.615623672866,14999097.2900442,12.4328711235739,5.12045661890994,3279.14636923909,858.033868746755,746.044506653271
780,0.39,962.498442453251,16099830.9178639,6.42771155747831,27.2368222866814,4478.88473417789,704.960867349582,14999096.4483449,12.438963611222,5.11794866730896,3279.39279709639,858.113893143603,746.152868239672
781,0.3905,962.471010217086,16099830.6820393,6.42752845496484,27.2375981884381,4478.87717548575,705.305156120753,14999095.607468,12.4450392496583,5.11545009699397,3279.63849949099,858.195240079983,746.362852042978
782,0.391,962.443605901509,16099830.4461911,6.42734553891343,27.2383733441973,4478.86962355099,705.648732180561,14999094.767142,12.4511023125967,5.11295912911676,3279.88347868605,858.274588745972,746.470246451955
783,0.3915,962.416229842216,16099830.2103188,6.42716281156606,27.2391477443259,4478.86207835022,705.991356103158,14999093.9276364,12.457148575165,5.11047747826312,3280.12773630348,858.355239690512,746.678504478838
784,0.392,962.38888151196,16099829.9744229,6.42698026940149,27.2399214036156,4478.85453985926,706.33326831262,14999093.0886818,12.4631822798428,5.1080033820673,3280.37127458328,858.43391219716,746.784930580537
785,0.3925,962.361561241221,16099829.7385032,6.42679791462685,27.2406943125813,4478.84700805469,706.674231140385,14999092.2505457,12.4691992327658,5.10553853927292,3280.61409512943,858.51386695562,746.991467144817
786,0.393,962.334268507945,16099829.5025601,6.42661574375556,27.2414664858705,4478.83948291231,707.014483252691,14999091.4129606,12.475203645396,5.10308120382891,3280.85620015905,858.591862862355,747.096923819247
787,0.3935,962.307003637452,16099829.2665934,6.42643375896033,27.2422379141441,4478.83196440864,707.353788725989,14999090.5761921,12.4811913546606,5.1006330587974,3281.09759125836,858.671121225457,747.301743208137
788,0.394,962.279766112816,16099829.0306036,6.42625195678881,27.2430086119075,4478.82445251948,707.692384480875,14999089.7399746,12.4871665412189,5.09819237427612,3281.3382706219,858.748440079416,747.406229345027
789,0.3945,962.252556254263,16099828.7945903,6.42607033937967,27.2437785699658,4478.81694722129,708.030036326623,14999088.9045719,12.4931250725747,5.09576081780459,3281.57823981834,858.827001822677,747.609335819198
790,0.395,962.225373549931,16099828.5585542,6.42588890331441,27.2445478026838,4478.80944848984,708.366979450297,14999088.0697203,12.4990710987982,5.09333667546535,3281.81750101988,858.903643158506,747.71285031786
791,0.3955,962.198218315006,16099828.3224948,6.42570765069803,27.2453163010095,4478.80195630156,708.702981381883,14999087.2356816,12.5050005177561,5.09092159943243,3282.0560557779,858.981508042074,747.914248111508
792,0.396,962.171090042631,16099828.0864127,6.42552657814544,27.2460840791688,4478.7944706322,709.038275586954,14999086.402194,12.5109174491421,5.08851389161102,3282.29390624247,859.05747138173,748.016789880695
793,0.3965,962.143989043012,16099827.8503075,6.42534568772841,27.2468511282509,4478.78699145815,709.372631304166,14999085.5695173,12.516817820973,5.08611518896497,3282.53105394788,859.13463915021,748.216483201608
794,0.397,962.116914814231,16099827.6141799,6.42516497609482,27.2476174623444,4478.7795187551,709.706280289564,14999084.7373919,12.5227057227773,5.08372380906185,3282.76750102238,859.209924002757,748.318051159377
795,0.3975,962.089867661574,16099827.3780295,6.42498444528357,27.2483830726781,4478.77205249942,710.038993478513,14999083.9060756,12.5285771125111,5.08134137380894,3283.00324898335,859.286394385049,748.516044189006
