i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
195,0.24375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,296.2819640342,14999952.1964752,2.34777413302681,12.275186344696,1101.61707486766,675.149472836411,296.424913780252
196,0.245,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,296.746958773659,14999951.930593,2.35145884928737,12.2559512308264,1101.83813061852,675.395599426483,296.888533726433
197,0.24625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,297.211715415646,14999951.6644935,2.35514167899942,12.2367861072397,1102.05880985187,675.641712686371,297.351926237541
198,0.2475,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,297.67623439157,14999951.3981768,2.35882262558157,12.2176905824175,1102.2791135392,675.88781244607,297.815090899334
199,0.24875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,298.140516129539,14999951.1316427,2.36250169242624,12.198664267861,1102.49904265014,676.13389853508,298.278027170269
200,0.25,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,298.604561054179,14999950.8648914,2.36617888289831,12.1797067780694,1102.71859815274,676.379970782385,298.740734356263
201,0.25125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,299.068369586427,14999950.5979228,2.36985420033336,12.16081773052,1102.93778101246,676.626029016434,299.203211577345
202,0.2525,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,299.531942143261,14999950.3307369,2.37352764803566,12.1419967456508,1103.15659219312,676.872073065126,299.665457734864
203,0.25375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,299.995279137393,14999950.0633338,2.37719922927564,12.1232434468451,1103.37503265546,677.118102755795,300.127470918288
204,0.255,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,300.458380976057,14999949.7957133,2.38086894728034,12.1045574604522,1103.59310335757,677.364117915203,300.589248783794
205,0.25625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,300.921248060376,14999949.5278756,2.38453680522836,12.0859384157844,1103.81080525436,677.610118369535,301.050789787023
206,0.2575,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,301.383880786596,14999949.2598206,2.38820280625965,12.0673859450393,1104.02813929849,677.856103944405,301.512092762241
207,0.25875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,301.846279546674,14999948.9915483,2.39186695348021,12.0488996832489,1104.24510644009,678.102074464864,301.973156799804
208,0.26,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,302.308444728688,14999948.7230588,2.39552924996526,12.0304792682365,1104.46170762751,678.348029755408,302.433981183371
209,0.26125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,302.770376717144,14999948.454352,2.39918969876173,12.0121243405786,1104.67794380693,678.593969639992,302.89456535062
210,0.2625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,303.232075893226,14999948.185428,2.40284830289024,11.9938345435691,1104.89381592277,678.839893942046,303.354908865904
211,0.26375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,303.693542635005,14999947.9162867,2.40650506534671,11.9756095231859,1105.10932491739,679.08580248448,303.815011399896
212,0.265,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,304.154777317613,14999947.6469281,2.41015998910381,11.9574489280595,1105.32447173162,679.331695089705,304.274872713757
213,0.26625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,304.615780313395,14999947.3773524,2.4138130771121,11.9393524094421,1105.5392573046,679.577571579646,304.734492646393
214,0.2675,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,305.076551992044,14999947.1075594,2.41746433230113,11.9213196211787,1105.75368257373,679.823431775748,305.193871103972
215,0.26875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,305.537092720713,14999946.8375492,2.42111375758032,11.9033502196788,1105.96774847482,680.069275498993,305.653008051116
216,0.27,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,305.99740286412,14999946.5673218,2.42476135583981,11.8854438638889,1106.18145594216,680.31510256991,306.111903503414
